Stage1,,,,
4,4,4,,
e/e/e/e,e/e/e/e,e/e/e/e,s/e/e/e,.
e/e/e/e,e/e/e/e,c/e/e/e,e/e/e/e,.
e/e/e/e,c/e/e/e,c/e/e/e,e/e/e/e,.
c/e/e/e,e/e/e/e,e/e/e/e,e/e/e/e,.
,,,,
Stage2,,,,
4,4,4,,
c/c/c/s,c/c/c/e,c/c/c/e,c/c/c/s,.
c/c/c/s,c/c/e/e,c/c/e/e,c/c/c/s,.
c/c/s/e,c/e/e/e,c/e/e/e,c/c/s,.
c/s/e/e,e/e/e/e,e/e/e/e,c/s/e/e,.
,,,,
Stage3,,,,
4,4,4,,
e/e/e/e,c/c/s/e,c/c/s/e,e/e/e/e,.
c/c/s/e,c/c/e/e,c/c/e/e,c/c/s/e,.
c/c/s/e,c/c/e/e,c/c/e/e,c/c/s/e,.
e/e/e/e,c/c/s/e,c/c/s/e,e/e/e/e,
,,,,
Stage4,,,,
4,4,4,,
e/e/e/e,c/c/c/c,c/c/c/c,e/e/e/e,.
c/c/c/c,c/e/e/e,c/e/e/e,c/c/c/c,.
c/c/e/e,c/e/e/e,c/e/e/e,c/c/e/e,.
s/e/e/e,e/e/e/e,e/e/e/e,s/e/e/e,.
,,,,
Stage5,,,,
4,4,4,,
c/e/e/e,e/e/e/e,c/e/e/e,e/e/e/e,.
c/e/e/e,c/c/e/e,c/c/e/e,c/e/e/e,.
e/e/e/e,c/c/e/e,c/c/e/e,e/e/e/e,.
c/e/e/e,e/e/e/e,c/e/e/e,c/e/e/e,.
,,,,
Stage6,,,,
4,4,4,,
e/e/e/e,c/c/c/c,c/c/c/c,e/e/e/e,.
e/e/e/e,a/c/e/e,a/c/e/e,e/e/e/e,.
e/e/e/e,c/c/e/e,c/c/e/e,e/e/e/e,.
e/e/e/e,e/e/e/e,e/e/e/e,e/e/e/e,.
,,,,
Stage7,,,,
4,4,4,,
c/a/c/e,e/e/e/e,e/e/e/e,e/e/e/e,.
e/e/e/e,c/c/c/s,e/e/e/e,e/e/e/e,.
e/e/e/e,e/e/e/e,c/c/c/s/,e/e/e/e,.
e/e/e/e,e/e/e/e,e/e/e/e,c/a/c/e,.
,,,,
Stage8,,,,
4,4,4,,
a/c/e/e,a/c/e/e,e/e/e/e,e/e/e/e,.
c/e/e/e,c/e/e/e,c/c/e/e,e/e/e/e,.
c/e/e/e,c/e/e/e,c/e/e/e,a/c/e/e,.
c/e/e/e,c/e/e/e,c/e/e/e,a/c/e/e,.
,,,,
Stage9,,,,
4,4,4,,
e/e/e/e,c/c/c/c,c/c/c/c,e/e/e/e,.
e/e/e/e,a/c/s/e,a/c/s/e,e/e/e/e,.
e/e/e/e,a/c/e/e,a/c/e/e,e/e/e/e,.
e/e/e/e,c/c/s/e,c/c/s/e,e/e/e/e,.
,,,,
Stage10,,,,
4,4,4,,
e/e/e/e,a/c/c/c,a/c/c/c,e/e/e/e,.
c/e/e/e,c/c/c/e,c/c/c/e,c/e/e/e,.
e/e/e/e,c/c/e/e,c/c/e/e,e/e/e/e,.
c/e/e/e,c/c/e/e,c/c/e/e,c/e/e/e,.
,,,,
EXTRA1,,,,
4,4,4,,
e/e/e/e,a/c/e/e,a/c/e/e,e/e/e/e,.
a/c/e/e,c/e/e/e,c/e/e/e,a/c/e/e,.
a/c/e/e,c/e/e/e,c/c/c/c,a/c/e/e,.
e/e/e/e,a/c/e/e,a/c/a/s,e/e/e/e,.
