Stage21,ハンマー,,,,
5,5,5,,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.
a/a/c/c/e,a/a/c/c/e,a/a/c/c/e,a/a/c/c/e,a/a/c/c/e,.
a/a/c/c/e,a/a/c/c/e,c/c/c/c/c,a/a/c/c/e,a/a/c/c/e,.
a/a/c/c/e,a/a/c/c/e,a/a/c/c/e,a/a/c/c/e,a/a/c/c/e,.
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.
,,,,,
Stage22,カメラ,,,,
5,5,5,,,
c/c/c/c/e,c/c/c/c/e,c/c/c/c/e,c/c/c/c/e,c/c/c/c/e,.
c/c/c/c/e,c/c/c/c/s,c/c/c/c/e,c/c/c/c/e,c/c/c/c/e,.
c/c/c/c/e,c/c/c/c/e,c/c/c/c/e,c/c/c/c/e,c/c/c/c/e,.
e/e/e/e/e,e/e/e/e/e,a/c/c/e/e,a/c/c/e/e,e/e/e/e/e,.
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.
,,,,,
Stage23,グッドサイン,,,,
5,5,5,,,
c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,e/e/e/e/e,e/e/e/e/e,.
c/c/c/e/e,c/c/c/e/e,c/c/c/c/c,e/e/e/e/e,e/e/e/e/e,.
c/c/c/e/e,c/c/c/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,c/c/e/e/e,c/c/e/e/e,.
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,c/c/e/e/e,c/c/e/e/e,.
,,,,,
Stage24,カバン,,,,
5,5,5,,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.
c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,.
c/c/c/c/e,c/c/c/c/c,c/c/c/c/c,c/c/c/c/c,c/c/c/c/e,.
c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,.
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.
,,,,,
Stage25,ポンプ,,,,
5,5,5,,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.
e/e/e/e/e,e/e/e/e/e,c/c/c/a/c,c/c/c/a/c,c/c/c/a/c,.
a/a/a/c/c,a/a/a/a/c,c/c/c/a/c,c/c/c/c/c,c/c/c/a/c,.
e/e/e/e/e,e/e/e/e/e,c/c/c/a/c,c/c/c/a/c,c/c/c/a/c,.
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.
,,,,,
Stage26,蛇口,,,,
5,5,5,,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,c/c/c/c/c,.
e/e/e/e/e,a/a/a/a/c,e/e/e/e/e,e/e/e/e/e,c/c/c/c/c,.
a/c/c/a/c,a/a/c/c/c,a/a/c/a/c,a/a/c/e/e,c/c/c/c/c,.
e/e/e/e/e,a/a/a/a/c,e/e/e/e/e,e/e/e/e/e,c/c/c/c/c,.
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,c/c/c/c/c,.
,,,,,
Stage27,トンボ,,,,
5,5,5,,,
e/e/e/e/e,e/e/e/e/e,a/a/c/e/e,e/e/e/e/e,e/e/e/e/e,.
e/e/e/e/e,a/a/c/e/e,a/a/c/e/e,e/e/e/e/e,a/a/s/e/e,.
a/a/c/e/e,a/a/c/e/e,a/a/c/e/e,a/a/c/e/e,a/a/c/e/e,.
e/e/e/e/e,a/a/c/e/e,a/a/c/e/e,e/e/e/e/e,a/a/s/e/e,.
e/e/e/e/e,e/e/e/e/e,a/a/c/e/e,e/e/e/e/e,e/e/e/e/e,.
,,,,,
Stage28,コップと歯ブラシ,,,,
5,5,5,,,
e/e/e/e/e,e/e/e/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,.
c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,c/c/e/e/e,c/c/c/e/e,.
e/e/e/e/e,e/e/e/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,.
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.
e/e/e/e/e,c/c/c/c/c,a/a/a/s/s,e/e/e/e/e,e/e/e/e/e,.
,,,,,
Stage29,てんとうむし,,,,
5,5,5,,,
c/c/c/e/e,a/c/c/c/e,c/c/c/c/e,a/c/c/e/e,c/e/e/e/e,.
a/c/c/e/c,a/c/c/c/e,a/c/c/c/e,a/c/c/c/e,a/c/s/e/e,.
a/c/c/e/c,a/c/c/c/e,a/c/c/c/e,a/c/c/c/e,a/c/c/e/e,.
a/c/c/e/c,a/c/c/c/e,a/c/c/c/e,a/c/c/c/e,a/c/s/e/e,.
c/c/c/e/e,a/c/c/c/e,c/c/c/c/e,a/c/c/e/e,c/e/e/e/e,.
,,,,,
Stage30,小屋,,,,
5,5,5,,,
a/a/c/e/e,a/a/a/c/e,a/a/a/a/c,a/a/a/c/e,a/a/c/e/e,.
a/a/c/e/e,c/c/c/c/e,c/c/c/c/c,c/c/c/c/e,a/a/c/e/e,.
a/a/c/e/e,c/c/c/c/e,c/c/c/c/c,c/c/c/c/e,a/a/c/e/e,.
a/a/c/e/e,c/c/c/c/e,a/a/c/c/c,c/c/c/c/e,a/a/c/e/e,.
a/a/c/e/e,a/a/a/c/e,a/a/a/a/c,a/a/a/c/e,a/a/c/e/e,.
,,,,,
EXTRA3,,,,,
5,5,5,,,
a/a/c/e/e,c/a/a/c/e,a/a/a/a/c,c/a/a/c/e,a/a/c/e/e,
c/a/c/e/e,c/a/c/e/e,c/a/c/e/e,c/a/c/e/e,c/a/c/e/e,
a/a/c/e/e,c/c/c/c/e,c/c/c/c/c,c/c/c/c/e,a/a/c/e/e,
c/a/c/e/e,c/a/c/e/e,c/a/c/e/e,c/a/c/e/e,c/a/c/e/e,
a/a/c/e/e,c/a/a/c/e,a/a/a/a/c,c/a/a/c/e,a/a/c/e/e,
