Stage31,さくらんぼ,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,.
a/a/a/a/c/c,a/a/a/a/c/c,a/a/a/c/e/e,a/a/c/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,.
a/a/a/a/c/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
a/a/c/c/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
c/c/e/e/e/e,c/c/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
c/c/e/e/e/e,c/c/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage32,トランクケース,,,,,
6,6,6,,,,
e/e/e/e/e/e,s/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,s/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,a/c/c/c/c/c,a/c/c/c/e/e,a/c/c/c/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,a/c/c/c/a/c,a/c/c/c/e/e,a/c/c/c/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,a/c/c/c/a/c,a/c/c/c/e/e,a/c/c/c/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,a/c/c/c/c/c,a/c/c/c/e/e,a/c/c/c/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,s/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,s/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage33,バケツ,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,a/a/c/c/e/e,.
e/e/e/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/a/c/e,e/e/e/e/e/e,.
e/e/e/e/e/e,c/c/c/e/e/e,c/c/e/e/e/e,c/c/a/a/a/c,c/c/c/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,c/c/c/e/e/e,c/c/a/a/a/c,c/c/e/e/e/e,c/c/c/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,c/c/c/a/c/e,c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,e/e/e/e/e/e,.
a/a/c/c/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage34,くわがた,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,c/e/e/e/e/e,e/e/e/e/e/e,c/e/e/e/e/e,.
a/c/e/e/e/e,a/c/e/e/e/e,a/c/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,.
a/c/e/e/e/e,a/c/e/e/e/e,a/c/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,c/e/e/e/e/e,e/e/e/e/e/e,c/e/e/e/e/e,.
,,,,,,
Stage35,トウモロコシ,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,a/a/c/e/e/e,a/a/c/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,a/c/e/e/e/e,a/c/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
a/a/c/e/e/e,a/c/e/e/e/e,c/c/c/c/c/c,c/c/c/c/c/c,a/c/e/e/e/e,a/a/c/e/e/e,.
a/a/c/e/e/e,a/c/e/e/e/e,c/c/c/c/c/c,c/c/c/c/c/c,a/c/e/e/e/e,a/a/c/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,a/c/e/e/e/e,a/c/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,a/a/c/e/e/e,a/a/c/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage36,蝶々,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,c/a/c/e/e/e,a/a/c/e/e/e,c/a/c/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
a/a/c/e/e/e,c/a/c/e/e/e,a/a/c/e/e/e,c/a/c/e/e/e,e/e/e/e/e/e,a/a/c/e/e/e,.
e/e/e/e/e/e,a/c/e/e/e/e,a/c/e/e/e/e,a/c/e/e/e/e,a/c/e/e/e/e,e/e/e/e/e/e,.
a/a/c/e/e/e,c/a/c/e/e/e,a/a/c/e/e/e,c/a/c/e/e/e,e/e/e/e/e/e,a/a/c/e/e/e,.
e/e/e/e/e/e,c/a/c/e/e/e,a/a/c/e/e/e,c/a/c/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage37,キリン,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,c/c/c/e/e/e,a/a/c/e/e/e,a/a/c/e/e/e,c/c/c/e/e/e,e/e/e/e/e/e,.
a/a/a/a/a/c,c/c/c/c/c/c,a/a/c/e/e/e,a/a/c/e/e/e,a/a/c/e/e/e,a/c/c/e/e/e,.
e/e/e/e/e/e,c/c/c/e/e/e,a/a/c/e/e/e,a/a/c/e/e/e,c/c/c/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage38,箱,,,,,
6,6,6,,,,
a/a/a/c/c/e,c/c/c/c/c/c,c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,.
a/a/a/c/c/e,c/c/c/a/a/c,c/c/s/e/e/e,c/c/s/e/e/e,c/c/s/e/e/e,c/c/c/e/e/e,.
a/a/a/c/c/e,c/c/c/a/a/c,c/c/s/e/e/e,c/c/s/e/e/e,c/c/s/e/e/e,c/c/c/e/e/e,.
a/a/a/c/c/e,c/c/c/a/a/c,c/c/s/e/e/e,c/c/s/e/e/e,c/c/s/e/e/e,c/c/c/e/e/e,.
a/a/a/c/c/e,c/c/c/c/c/c,c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage39,四つ葉,,,,,
6,6,6,,,,
e/e/e/e/e/e,a/a/a/a/a/c,e/e/e/e/e/e,a/a/a/a/a/c,e/e/e/e/e/e,e/e/e/e/e/e,.
a/a/a/a/a/c,a/a/a/a/a/c,e/e/e/e/e/e,a/a/a/a/a/c,a/a/a/a/a/c,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,a/a/a/c/c/s,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
a/a/a/a/a/c,a/a/a/a/a/c,e/e/e/e/e/e,c/c/c/a/a/c,c/a/a/a/a/c,e/e/e/e/e/e,.
e/e/e/e/e/e,a/a/a/a/a/c,e/e/e/e/e/e,a/a/a/a/a/c,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage40,お花,,,,,
6,6,6,,,,
e/e/e/e/e/e,a/a/a/a/a/c,a/a/a/a/a/c,a/c/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
